Name,Team,Matches,Wickets,Balls,Wickper100balls,Type,StrikeRate
RM Hogg,AUS,38,123,7633,1.61,Pace,62.06
RO Collinge,NZ,35,116,7689,1.51,Pace,66.28
RR Lindwall,AUS,61,228,13650,1.67,Pace,59.87
S Ramadhin,WI,43,158,13939,1.13,Spin,88.22
S Venkataraghavan,IND,57,156,14877,1.05,Spin,95.37
Saeed Ajmal,PAK,35,178,11592,1.54,Spin,65.12
Saqlain Mushtaq,PAK,49,208,14070,1.48,Spin,67.64
Sarfraz Nawaz,PAK,55,177,13951,1.27,Pace,78.82
SCG MacGill,AUS,44,208,11237,1.85,Spin,54.02
SCJ Broad,ENG,167,604,33698,1.79,Pace,55.79
SF Barnes,ENG,27,189,7873,2.4,Pace,41.66
Shaheen Shah Afridi,PAK,29,113,5814,1.94,Pace,51.45
Shakib Al Hasan,BAN,66,233,14775,1.58,Spin,63.41
Shoaib Akhtar,PAK,46,178,8143,2.19,Pace,45.75
Sir RJ Hadlee,NZ,86,431,21918,1.97,Pace,50.85
SJ Harmison,ENG,63,226,13375,1.69,Pace,59.18
SK Warne,AUS,145,708,40705,1.74,Spin,57.49
SL Malinga,SL,30,101,5209,1.94,Pace,51.57
SM Pollock,SA,108,421,24353,1.73,Pace,57.85
SP Gupte,IND,36,149,11284,1.32,Spin,75.73
ST Finn,ENG,36,125,6412,1.95,Pace,51.3
ST Gabriel,WI,59,166,9379,1.77,Pace,56.5
TA Boult,NZ,78,317,17417,1.82,Pace,54.94
Taijul Islam,BAN,44,192,12019,1.6,Spin,62.6
TE Bailey,ENG,61,132,9712,1.36,Pace,73.58
TG Southee,NZ,98,376,22193,1.69,Pace,59.02
TL Goddard,SA,41,123,11736,1.05,Pace,95.41
TM Alderman,AUS,41,170,10181,1.67,Pace,59.89
Umar Gul,PAK,47,163,9599,1.7,Pace,58.89
UT Yadav,IND,57,170,8979,1.89,Pace,52.82
VA Holder,WI,40,109,9095,1.2,Pace,83.44
VD Philander,SA,64,224,11391,1.97,Pace,50.85
W Rhodes,ENG,58,127,8225,1.54,Spin,64.76
WA Johnston,AUS,40,160,11048,1.45,Pace,69.05
Waqar Younis,PAK,87,373,16224,2.3,Pace,43.5
Wasim Akram,PAK,104,414,22627,1.83,Pace,54.65
WJ O'Reilly,AUS,27,144,10024,1.44,Spin,69.61
WPUJC Vaas,SL,111,355,23438,1.51,Pace,66.02
WW Hall,WI,48,192,10421,1.84,Pace,54.28
Yasir Shah,PAK,48,244,14255,1.71,Spin,58.42
Z Khan,IND,92,311,18785,1.66,Pace,60.4
